city,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
codrington,-38.2667,141.9667,285.87,55,8,1.5,AU,1659932146
rikitea,-23.1203,-134.9692,294.44,77,100,16.51,PF,1659932146
port alfred,-33.5906,26.891,287.14,99,88,0.45,ZA,1659932112
union de san antonio,21.1,-101.9667,289.85,68,91,1.65,MX,1659932148
butaritari,3.0707,172.7902,300.76,75,92,5.43,KI,1659932148
los llanos de aridane,28.6585,-17.9182,293.01,83,75,6.17,ES,1659932018
moron,-34.6534,-58.6198,283.13,82,29,3.85,AR,1659932150
sao felix do xingu,-6.6447,-51.995,298.2,62,54,0.43,BR,1659932151
ponta do sol,32.6667,-17.1,295.21,83,0,1.65,PT,1659932152
lavrentiya,65.5833,-171,276.81,76,100,5.71,RU,1659931951
redmond,47.674,-122.1215,299.11,63,0,1.5,US,1659932065
hithadhoo,-0.6,73.0833,300.54,70,100,0.78,MV,1659932053
paita,-5.0892,-81.1144,290.58,82,2,6.01,PE,1659932154
khatanga,71.9667,102.5,289.49,55,69,4.21,RU,1659932116
torbay,47.6666,-52.7314,294.03,91,100,9.77,CA,1659932129
butterworth,5.3991,100.3638,305.18,65,20,5.66,MY,1659932156
norman wells,65.282,-126.8329,287.17,82,75,6.17,CA,1659932157
vaini,-21.2,-175.2,299.24,94,20,4.12,TO,1659931861
yellowknife,62.456,-114.3525,288.44,88,75,0,CA,1659932113
cape town,-33.9258,18.4232,286.63,89,75,3.6,ZA,1659932146
barrow,71.2906,-156.7887,280.16,76,100,9.77,US,1659931931
norrtalje,59.758,18.705,288.16,91,41,2.12,SE,1659932160
richards bay,-28.783,32.0377,292.6,86,60,5.23,ZA,1659932160
marbella,36.5154,-4.8858,297.73,77,0,0.66,ES,1659932161
bethel,41.3712,-73.414,299.71,89,0,0,US,1659932162
saquena,-4.6667,-73.5167,296.94,85,74,0.69,PE,1659932163
berekum,7.4534,-2.584,292.45,94,89,2.82,GH,1659932163
margate,51.3813,1.3862,287.76,87,10,1.49,GB,1659932164
arraial do cabo,-22.9661,-42.0278,294.33,88,98,2.18,BR,1659932165
vila franca do campo,37.7167,-25.4333,293.38,87,77,2.15,PT,1659932166
kapaa,22.0752,-159.319,299.33,79,75,4.63,US,1659932167
uruzgan,32.8333,66,301.91,12,0,2.35,AF,1659932168
saint george,37.1041,-113.5841,308.68,17,0,4.63,US,1659932701
busselton,-33.65,115.3333,286.11,78,98,9.34,AU,1659932715
tura,25.5198,90.2201,301.68,83,66,0.89,IN,1659932741
union city,37.5958,-122.0192,293.12,76,0,6.17,US,1659932455
davila,18.4726,120.5763,303.14,74,100,4.97,PH,1659932742
avarua,-21.2078,-159.775,296.18,64,20,7.72,CK,1659932743
synya,65.3718,58.0387,296.89,52,6,4.14,RU,1659932744
san patricio,28.017,-97.5169,302.53,73,93,5.47,US,1659932745
tuktoyaktuk,69.4541,-133.0374,284.15,76,40,6.17,CA,1659932745
atuona,-9.8,-139.0333,298.07,75,16,6.99,PF,1659932746
sioux lookout,50.1001,-91.917,287.19,88,100,0,CA,1659932747
nikolskoye,59.7035,30.7861,289.19,77,100,1.63,RU,1659932748
nantong,32.0303,120.8747,310.36,50,37,4.55,CN,1659932748
lebanon,36.2081,-86.2911,297.21,89,0,0,US,1659932518
arecibo,18.4724,-66.7157,301.07,94,97,4.99,PR,1659932750
ushuaia,-54.8,-68.3,273.96,75,20,2.06,AR,1659932483
piacenza,45.0468,9.6994,295.52,73,98,2.13,IT,1659932751
port elizabeth,-33.918,25.5701,288.31,97,100,5.66,ZA,1659932752
punta arenas,-53.15,-70.9167,275.21,87,20,3.6,CL,1659932713
pevek,69.7008,170.3133,273.74,89,100,6.19,RU,1659932638
bangolo,7.0069,-7.475,292.2,99,54,0.84,CI,1659932754
lorengau,-2.0226,147.2712,301.93,73,92,4.4,PG,1659932754
victoria,22.2855,114.1577,302.25,89,60,2.68,HK,1659932693
lompoc,34.6391,-120.4579,291.23,86,0,4.12,US,1659932491
sisimiut,66.9395,-53.6735,277.22,96,100,0.86,GL,1659932756
tasiilaq,65.6145,-37.6368,278.24,98,100,2.4,GL,1659932757
san ignacio,17.1561,-89.0714,296.23,100,75,0,BZ,1659932758
saint-philippe,-21.3585,55.7679,293.92,79,0,2.47,RE,1659932640
buraydah,26.326,43.975,308.4,20,17,4.23,SA,1659932759
bluff,-46.6,168.3333,278.6,57,17,9.68,NZ,1659932760
wichita falls,33.9137,-98.4934,305.6,42,0,4.63,US,1659932761
mataura,-46.1927,168.8643,278.42,69,7,4.22,NZ,1659932502
jamestown,42.097,-79.2353,297.92,69,0,3.6,US,1659932762
